machine_id,operation_mode,vibration_mm_s,temperature_c
IND-07,standby,1.6093296533786488,33.16123128840792
IND-20,standby,1.2768397423828275,36.4479899378021
IND-15,standby,1.3996803505872841,37.473526690335795
IND-11,standby,1.683755205270301,37.23772066028927
IND-08,standby,2.0202154463224193,34.74153247322516
IND-07,standby,0.5224756148408586,41.828218431536726
IND-19,standby,1.315530280484269,33.44583087533776
IND-11,standby,1.6069043969705317,33.8336231066679
IND-11,performance,15.164047790778529,91.40157048756946
IND-04,standby,2.3655848158836497,40.233606109927706
IND-08,performance,15.729180239542526,84.98283089577498
IND-03,standby,1.4793536564963585,35.468343268706015
IND-02,standby,1.7780110484211453,38.154587346031384
IND-12,standby,1.2043576055990528,35.96427569022453
IND-06,standby,0.5767134760977914,35.33079229093941
IND-02,performance,16.142690946166933,93.39379741132032
IND-01,performance,19.05888111185408,91.63510794137756
IND-12,standby,1.3315524366074307,38.06087757127358
IND-12,performance,15.307131397082042,97.74881333439218
IND-17,standby,1.9628361047513607,36.61400612001072
IND-10,standby,1.3346125519884737,36.58346545075662
IND-16,performance,15.979678372699565,91.2846658937168
IND-15,performance,17.29891217932662,92.93478333989573
IND-15,standby,1.8853751048093936,36.110341275742925
IND-19,standby,2.6908567658662728,35.99878303535542
IND-12,performance,18.654472215314847,97.17976272496345
IND-20,standby,2.079919983194172,39.03223236071008
IND-03,performance,15.98806760202429,80.95468233219947
IND-05,standby,0.9870659470152618,36.02004230348114
IND-19,standby,1.5311656748095614,34.62261113310953
IND-07,performance,17.214339830519194,88.13417120108356
IND-09,performance,14.842974517270806,92.41509725841193
IND-07,performance,16.649410940191974,94.01663022925482
IND-18,standby,1.6996588008595654,35.77574711277731
IND-04,standby,1.68019669750904,32.17331933055439
IND-14,standby,1.7521439266921361,34.06990883884764
IND-18,standby,1.6454823650687214,37.79299934040033
IND-09,performance,15.985982681459888,73.55744146779041
IND-02,standby,1.2430496866755785,38.374854303364
IND-20,standby,0.900524301003062,37.042459981289085
IND-15,standby,2.3923875195925475,38.63235216306004
IND-07,performance,17.026900729238587,88.80858487871424
IND-12,standby,1.387573472102574,31.87718915195419
IND-08,standby,1.0356039592737707,36.860725283013
IND-15,performance,22.871315804655556,97.64791874423005
IND-03,standby,0.9633359838885522,37.84944361102684
IND-14,standby,1.2855760371969633,34.67461703302393
IND-17,performance,17.831673672572123,90.52056645277588
IND-04,standby,1.800106482872139,34.93432746244015
IND-18,standby,2.5,34.361467071621256
IND-08,standby,2.4038042538846316,37.9107771423597
IND-04,performance,18.012315310921423,82.81480613240903
IND-02,standby,0.9719846000166662,34.212367138836775
IND-06,standby,1.3715274374391093,33.79194873305523
IND-10,performance,17.61566474502777,81.05851486020572
IND-04,performance,21.136452083011648,90.87848575105562
IND-18,standby,0.8010972607878515,38.32300609696395
IND-12,standby,2.1012882526126138,35.63024648750947
IND-02,standby,1.5899571847732084,32.98850439887167
IND-10,standby,1.9189152676147403,37.679889079484056
IND-04,performance,16.796010566728135,100.11421052420982
IND-14,standby,1.0787836849368369,34.70751535170681
IND-16,performance,18.501745558802664,87.1286743996937
IND-15,performance,18.308862054211243,93.09396378050036
IND-08,standby,1.986028482869861,39.243747495570105
IND-14,standby,1.4933476823106824,34.960331708549546
IND-08,performance,15.8003559533603,82.00530131401077
IND-16,performance,13.882426009952317,93.78851163763444
IND-13,standby,1.9096866340697032,37.598136146284595
IND-18,performance,17.847778964887972,90.03678870261136
IND-15,standby,1.0171086835680203,34.8837334806851
IND-13,standby,1.230713163351688,37.98875746198409
IND-09,performance,16.06648237609712,93.16821602728778
IND-15,performance,14.034031136035164,85.38938689857905
IND-13,standby,1.0911588016974332,36.098189462611344
IND-01,performance,14.732339286387292,81.88975480785211
IND-07,standby,1.2937604940560317,37.37178091287584
IND-09,standby,1.1306512508352187,35.475532861234285
IND-01,standby,0.6864975395666256,35.12857833523053
IND-12,performance,21.045180461138962,89.8027530890854
IND-08,standby,2.1262703655146153,36.0806153986605
IND-11,standby,1.1104902892400073,37.78986012313112
IND-19,standby,1.636210698326805,37.18218106265044
IND-17,standby,1.7087325449106474,35.68718144241439
IND-08,standby,2.0955429273867385,37.52733629943799
IND-03,standby,1.0906974866699608,36.801474507383226
IND-03,standby,2.046053391991213,35.14680072742792
IND-01,standby,1.2260473478965324,35.75056368352703
IND-05,standby,0.8320687979156933,35.703554222313755
IND-10,standby,1.8620682796572487,37.0105226863484
IND-07,standby,2.145379212061214,35.26595477055672
IND-09,performance,22.17581794706137,87.6575448814702
IND-07,standby,0.9001373674548933,39.937514618867915
IND-09,standby,1.8494598425403943,37.87947096349421
IND-08,standby,1.2950993781032334,34.47879867114972
IND-12,performance,18.56671742104806,93.4256459636532
